Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 04:59:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:00:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:00:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:01:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:01:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:02:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:02:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:03:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:03:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:04:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:04:46 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:05:16 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:05:45 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:06:15 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:06:46 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:07:16 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:07:46 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:08:16 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:08:46 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:09:17 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:09:47 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:10:18 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:10:48 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:11:18 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:11:48 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:12:19 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:12:50 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:13:20 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:13:50 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:14:20 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:14:50 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:15:20 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:15:50 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:16:20 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:16:50 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:17:20 ] 
Recieved parameter: [Error: Can_not_fix_location, Device ID: 13450633605839585280, Created at: 15.08.2016, 05:17:50 ] 
